x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
6,15,-0.00302552,8.45E-05,1.77008,3.37109
7,15,0.0112398,0.000108106,1.79503,3.45212
8,15,0.0279285,9.68E-05,1.77695,3.43756
9,15,0.0104362,6.29E-05,1.81257,3.51408
10,15,-0.0188839,2.98E-05,1.91697,3.72019
11,15,-0.0118536,1.06E-05,1.88166,3.65173
12,15,0.0128178,3.58E-06,1.81112,3.50638
13,15,0.000212658,1.54E-05,1.802,3.4706
14,15,-0.0304626,3.90E-05,1.81352,3.48395
15,15,-0.0167234,6.74E-05,1.82785,3.48569
16,15,-0.0297567,8.56E-05,1.84961,3.48478
17,15,-0.0461846,9.37E-05,1.79609,3.35609
18,15,-0.0327596,0.000107264,1.69785,3.15441
19,15,-0.0255596,0.000122622,1.64319,3.02605
20,15,-0.0198415,0.000107546,1.61684,2.93555
21,15,-0.0101627,8.31E-05,1.56073,2.81139
22,15,-0.00901895,5.12E-05,1.50103,2.69888
0,16,0.0185842,3.03E-05,1.59211,2.89554
1,16,0.0105231,1.83E-05,1.62745,2.972
2,16,-0.00369287,7.51E-06,1.67082,3.07638
3,16,0.00752921,3.50E-06,1.71361,3.18554
4,16,-0.00658587,1.23E-05,1.79811,3.3753
5,16,-0.0179963,3.29E-05,1.8366,3.48355
6,16,0.0234211,5.85E-05,1.868,3.57137
7,16,-0.00472472,8.58E-05,1.91461,3.69289
8,16,-0.000416627,8.26E-05,1.90114,3.70585
9,16,0.00767,5.99E-05,1.91276,3.73561
10,16,0.0284106,3.06E-05,1.95104,3.80423
11,16,0.0348399,1.03E-05,1.91706,3.74281
12,16,0.00222401,3.34E-06,1.88997,3.68697
13,16,-0.017171,9.02E-06,1.87743,3.63638
14,16,-0.0136065,2.55E-05,1.82585,3.51103
15,16,-0.031678,4.51E-05,1.81352,3.46346
16,16,-0.0248497,5.66E-05,1.83542,3.4656
17,16,-0.0126541,6.51E-05,1.76282,3.30283
18,16,-0.0129799,7.88E-05,1.69289,3.15675
19,16,-0.00803715,8.72E-05,1.6561,3.06158
20,16,-0.00448336,7.77E-05,1.66522,3.0434
21,16,-0.0039034,6.28E-05,1.64243,2.98098
22,16,0.00860641,4.54E-05,1.61437,2.92473
0,17,-0.0225554,3.99E-05,1.70443,3.12455
1,17,-0.0142253,2.80E-05,1.73311,3.18782
2,17,-0.0133517,1.55E-05,1.75279,3.24454
3,17,-0.0435037,5.10E-06,1.80655,3.36811
4,17,-0.0383469,3.94E-06,1.88965,3.54297
5,17,-0.0356072,1.57E-05,1.92392,3.64823
6,17,-0.0458624,3.41E-05,1.98748,3.81478
7,17,-0.0297398,5.59E-05,2.02786,3.93552
8,17,-0.0256884,5.89E-05,2.02508,3.97201
9,17,-0.0216746,4.89E-05,2.04831,4.02899
10,17,-0.0260269,2.82E-05,2.0966,4.13122
11,17,-0.0470685,1.09E-05,2.02384,3.98398
12,17,-0.0545041,3.49E-06,1.9613,3.82969
13,17,-0.0295102,4.42E-06,1.89898,3.6629
14,17,-0.00815256,1.28E-05,1.78554,3.41195
15,17,-0.0104838,2.60E-05,1.71239,3.2479
16,17,-0.0191597,3.70E-05,1.71302,3.21458
17,17,-0.00761487,5.20E-05,1.67872,3.12934
18,17,-0.0170489,6.61E-05,1.65353,3.07553
19,17,-0.019895,6.96E-05,1.63293,3.01887
20,17,-0.0167479,6.28E-05,1.65938,3.03794
21,17,-0.00208316,5.57E-05,1.66636,3.04014
22,17,-0.0117327,4.68E-05,1.69577,3.09894
0,18,0.0223624,4.90E-05,1.73824,3.19527
1,18,0.00566222,4.14E-05,1.79088,3.29843
2,18,-0.00585083,2.74E-05,1.76961,3.27248
3,18,-0.00384065,1.06E-05,1.7855,3.30861
4,18,0.00246171,2.56E-06,1.87243,3.4917
5,18,-0.022573,4.94E-06,1.91024,3.59424
6,18,-0.0487052,1.75E-05,1.93071,3.6706
7,18,-0.0628193,3.47E-05,1.97262,3.80351
8,18,-0.0588021,4.14E-05,2.01293,3.92015
9,18,-0.0687142,3.96E-05,2.09189,4.08898
10,18,-0.0701972,3.41E-05,2.05131,4.01969
11,18,-0.0557121,2.51E-05,1.92063,3.74531
12,18,-0.0158242,1.11E-05,1.80416,3.48017
13,18,-0.0194234,4.55E-06,1.75303,3.33846
14,18,-0.0204725,6.23E-06,1.66813,3.15006
15,18,0.0185046,1.49E-05,1.57672,2.95528
16,18,0.0438245,3.02E-05,1.54501,2.87525
17,18,0.0239385,5.07E-05,1.57853,2.94091
18,18,0.0292747,6.98E-05,1.56352,2.90155
19,18,0.0319889,6.88E-05,1.56819,2.88713
20,18,0.0427282,5.68E-05,1.64077,3.00486
21,18,0.0227536,5.27E-05,1.70103,3.12679
22,18,0.0274648,4.96E-05,1.70804,3.14502
0,19,0.00475024,3.92E-05,1.90189,3.51988
1,19,-0.0299687,4.06E-05,1.92205,3.54828
2,19,-0.0515683,2.94E-05,1.83613,3.38258
3,19,-0.0631299,1.72E-05,1.76006,3.23357
4,19,-0.0756452,6.90E-06,1.78354,3.27912
5,19,-0.0802191,3.54E-06,1.78106,3.29307
6,19,-0.0399946,1.24E-05,1.70854,3.1825
7,19,-0.0293508,2.84E-05,1.70208,3.20576
8,19,-0.0298419,4.48E-05,1.7484,3.31991
9,19,-0.028835,5.77E-05,1.813,3.46814
10,19,-0.00653718,6.62E-05,1.71604,3.29635
11,19,0.0031509,5.87E-05,1.64183,3.14502
12,19,0.00981926,3.65E-05,1.60018,3.03819
13,19,0.0258517,1.58E-05,1.56363,2.94465
14,19,0.0436138,6.21E-06,1.50298,2.80166
15,19,0.0186501,1.29E-05,1.51087,2.81634
16,19,0.0412389,3.54E-05,1.57069,2.93289
17,19,0.0268457,5.14E-05,1.61887,3.03173
18,19,0.0229699,5.87E-05,1.65216,3.08403
19,19,0.0174223,5.69E-05,1.71696,3.18848
20,19,-0.00530114,5.03E-05,1.83707,3.4023
21,19,-0.0195243,4.53E-05,1.87588,3.48069
22,19,-0.0185989,3.96E-05,1.90339,3.53218
0,20,-0.141,3.14E-05,1.93215,3.51939
1,20,-0.092398,3.50E-05,1.83222,3.31172
