y,x,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
40,13,0.672505,0.000418891,0.798003,1.61613
40,14,-0.0234945,0.000648231,1.376,2.971
40,15,-0.547632,0.00108265,1.89598,4.40747
40,16,-0.338016,0.00078392,1.66077,4.03341
40,17,-0.264357,0.00162597,1.14268,2.55943
40,18,0.145265,0.00394726,0.712112,1.31569
40,19,0.245098,0.0165158,0.332557,0.426587
40,20,0.156937,0.0399488,0.29813,0.448284
40,21,-5.37e-08,0.0209701,0.442943,0.786241
40,22,-0.106087,0.0101354,0.372758,0.530571
41,0,-0.0627377,0.00185134,0.385763,0.479582
41,1,0.00624711,0.00046863,0.265798,0.309641
41,2,0.0623801,0.000775931,0.251235,0.332318
41,3,0.62884,0.00103576,0.545433,1.00491
41,4,-0.437899,0.002197,0.763523,1.53847
41,5,2.23432,0.000466208,0.724555,1.44462
41,6,0.820712,0.00113425,1.32059,3.35375
41,7,0.745336,0.00132922,1.16824,2.8597
41,8,-1.51773,0.00149697,1.3818,3.12461
41,9,-0.112131,0.000812135,1.32913,2.74038
41,10,-2.06794,0.000460923,1.49441,2.9042
41,11,2.637,0.000551273,1.15472,2.34029
41,12,-0.449939,0.000584951,1.01999,2.02682
41,13,-0.107676,0.000275626,1.2354,2.63055
41,14,-0.240275,0.000469729,1.50653,3.31425
41,15,-1.31e-08,0.000873777,1.72401,3.90836
41,16,-0.0186145,0.00154225,1.34418,3.00954
41,17,0.395619,0.00314979,0.706226,1.45008
41,18,-0.229316,0.00343065,0.610365,1.13288
41,19,-0.0928835,0.00655654,0.492536,0.65594
