y,x,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
11,3,-0.0422201,0.000344993,1.4701,3.0218
11,4,-0.00925115,0.000313816,1.47025,2.95088
11,5,-0.0134073,0.000493434,1.39601,2.71726
11,6,-0.00288105,0.00135785,1.05841,1.96456
11,7,0.0189377,0.00361795,0.752002,1.32312
11,8,0.0353125,0.00947773,0.555454,0.932412
11,9,0.0286171,0.0223462,0.413902,0.656044
11,10,0.0332008,0.0421606,0.343832,0.539954
11,11,0.0272005,0.0515091,0.348168,0.555338
11,12,0.00530282,0.0413056,0.416917,0.631086
11,13,-0.000741248,0.0253433,0.520974,0.732056
11,14,0.0199247,0.012631,0.674217,0.972537
11,15,-0.04493,0.00654333,0.806369,1.2172
11,16,-0.0616399,0.00427395,0.910927,1.41876
11,17,-0.0880717,0.00277225,1.01028,1.59625
11,18,-0.123325,0.0016819,1.06819,1.71543
11,19,-0.160761,0.000867498,1.1179,1.81736
11,20,-0.18705,0.000355543,1.09022,1.76805
11,21,-0.229347,9.18e-05,0.94397,1.52993
11,22,-0.233532,0.000229664,0.876675,1.45584
12,0,-0.0669696,0.000337656,0.807331,1.44118
12,1,-0.0259274,0.000628633,0.9179,1.76868
12,2,-0.0124608,0.000771327,1.08962,2.20866
12,3,0.0168696,0.000705469,1.19883,2.42393
12,4,0.0491809,0.000609986,1.19033,2.3222
12,5,0.0389256,0.000689995,1.17971,2.23832
12,6,0.0366389,0.00162957,0.947071,1.71333
12,7,0.0586182,0.00420917,0.717942,1.24221
12,8,0.00930376,0.00993373,0.581729,0.998802
12,9,0.0428063,0.021633,0.430927,0.710177
12,10,-0.0148321,0.0339516,0.381619,0.618709
12,11,-0.0780123,0.0356601,0.429539,0.690265
12,12,-0.111744,0.0286219,0.53161,0.82348
12,13,-0.166278,0.0164259,0.684146,1.00138
12,14,-0.133982,0.00970607,0.81234,1.20194
12,15,-0.189444,0.00613311,0.877384,1.34451
12,16,-0.196856,0.00447285,0.927849,1.46306
12,17,-0.192781,0.00373165,0.960521,1.5091
12,18,-0.161102,0.00280993,0.976062,1.52571
12,19,-0.180201,0.00175351,0.957016,1.49256
12,20,-0.135718,0.000713909,0.931331,1.46374
12,21,-0.180437,0.000191187,0.858442,1.37523
12,22,-0.166769,0.000148311,0.817176,1.36474
13,0,0.292235,0.000633099,0.652638,1.15506
13,1,0.292814,0.00101297,0.756322,1.44612
13,2,0.087802,0.00116893,0.985787,2.00105
13,3,0.046282,0.000903604,1.241,2.54676
13,4,0.0252177,0.000652702,1.32097,2.67179
13,5,0.0129245,0.0165743,0.621369,1.02615
13,6,0.01868,0.00132478,1.09787,2.07004
13,7,0.0227359,0.00365866,0.820641,1.4698
13,8,0.0401768,0.0113249,0.598512,1.04279
13,9,0.124971,0.0241908,0.429716,0.759643
13,10,0.0558573,0.0346899,0.378328,0.683676
13,11,0.0113702,0.0369415,0.408714,0.74248
13,12,-0.0244849,0.0298498,0.510267,0.895723
13,13,0.00646576,0.0213323,0.589199,0.991122
13,14,0.0102294,0.0161628,0.624015,1.0269
13,15,-0.0267756,0.0131053,0.638368,1.05109
13,16,-0.0331579,0.0113767,0.623092,1.02393
13,17,-0.0655508,0.0106864,0.610691,0.971362
13,18,-0.068547,0.00988173,0.603489,0.909967
13,19,-0.0456113,0.00628903,0.595658,0.857586
13,20,-0.00449068,0.00264855,0.620851,0.906811
13,21,0.0909141,0.000657851,0.625708,0.955254
13,22,0.11074,0.00020702,0.658827,1.07887
14,0,-0.0513978,0.000315347,0.853987,1.58463
14,1,-0.0462721,0.000558541,1.02462,2.04868
14,2,-0.0139363,0.00072036,1.28599,2.68328
14,3,-0.0150598,0.000608202,1.5767,3.34016
14,4,-0.0137791,0.000505589,1.59918,3.33366
14,5,0.000131591,0.0225861,0.560584,1.03598
14,6,-0.014517,0.000958315,1.31087,2.53663
14,7,-0.00215434,0.00305552,0.945255,1.72535
14,8,0.0129141,0.0117685,0.649765,1.1261
14,9,0.031453,0.0296133,0.469801,0.897356
14,10,0.0564231,0.047144,0.358295,0.753146
14,11,0.0637455,0.0489315,0.371715,0.823664
14,12,0.0379957,0.03562,0.469517,0.990094
14,13,-0.000708324,0.0266845,0.550446,1.07091
14,14,0.00325931,0.0220164,0.557621,1.0231
14,15,0.00878286,0.0209122,0.530303,0.969912
14,16,0.039919,0.0219013,0.477913,0.881928
14,17,0.0822646,0.0219776,0.432452,0.786372
14,18,0.0693909,0.0226632,0.393234,0.669273
14,19,0.072451,0.0180021,0.403665,0.61825
14,20,-0.00337747,0.00779642,0.506557,0.757821
14,21,-0.0187248,0.00177361,0.621859,0.96658
14,22,-0.0159328,0.000215823,0.73334,1.2274
15,0,0.0011886,0.000111565,0.941974,1.78806
15,1,-0.0744963,0.000233212,1.16853,2.3749
15,2,-0.0479899,0.000424538,1.45919,3.07809
15,3,-0.0337811,0.00047125,1.76826,3.79171
15,4,-0.0297403,0.000473702,1.76845,3.73743
15,5,-0.00852675,0.000651069,1.58171,3.20241
15,6,-0.000391834,0.000928147,1.34555,2.63877
15,7,0.00274842,0.00253358,0.96987,1.78226
15,8,0.0331344,0.0128286,0.651254,1.09544
15,9,0.0761413,0.0426032,0.455093,0.902101
15,10,0.245791,0.0657212,0.347035,0.87235
15,11,0.177691,0.0534034,0.398326,1.03574
15,12,0.0417121,0.038317,0.492836,1.17968
15,13,0.0230026,0.0275145,0.559967,1.20587
15,14,0.00285183,0.0260211,0.538385,1.0717
15,15,0.00990501,0.0265287,0.501741,0.972146
15,16,0.0159678,0.026601,0.479912,0.932558
15,17,0.0346295,0.026619,0.440964,0.846313
15,18,0.108357,0.0264334,0.386924,0.715887
15,19,0.175008,0.020538,0.413613,0.719977
15,20,0.0515318,0.0104129,0.518212,0.865737
15,21,0.0287376,0.00323798,0.635232,1.0442
15,22,0.0327444,0.000429428,0.778822,1.34647
16,0,0.0699806,0.000101473,0.988328,1.90198
16,1,0.105839,0.000172679,1.18366,2.41239
16,2,-0.0106822,0.000367292,1.48301,3.12397
16,3,0.00461809,0.0005007,1.71582,3.68622
16,4,-0.00226552,0.000562245,1.76228,3.72894
16,5,0.00925296,0.000768514,1.62188,3.31062
16,6,0.0215298,0.00102529,1.35557,2.69623
16,7,0.0283874,0.00201809,0.983837,1.81493
16,8,0.0220914,0.0107004,0.697769,1.16353
16,9,0.0218963,0.0420848,0.489898,0.928196
16,10,0.0699155,0.0711397,0.385658,0.979513
16,11,0.0661365,0.0562847,0.444327,1.21076
16,12,0.114772,0.0402103,0.52721,1.36808
16,13,0.0622918,0.0300265,0.579537,1.34767
16,14,0.0601677,0.0274282,0.547579,1.1599
16,15,0.0432101,0.0274349,0.516617,1.04058
16,16,0.0218835,0.0265832,0.508563,1.00406
16,17,0.0468392,0.0262557,0.478284,0.922893
16,18,0.0583549,0.0241351,0.448224,0.827408
16,19,0.0519836,0.0167986,0.510715,0.904611
16,20,0.0629127,0.00904695,0.619746,1.08695
16,21,0.0609306,0.00337682,0.718112,1.23685
16,22,0.108958,0.000604282,0.849335,1.51523
17,0,0.0181608,0.000129103,1.20657,2.3623
17,1,0.00122924,0.000122836,1.39205,2.85852
17,2,-0.0387567,0.000291839,1.62521,3.42156
17,3,-0.0444061,0.000481282,1.79151,3.84932
17,4,-0.037366,0.000692506,1.83677,3.88657
17,5,-0.050667,0.000999077,1.73567,3.59444
17,6,-0.0618322,0.00122338,1.43405,2.8857
17,7,-0.03621,0.00172614,1.07505,1.99479
17,8,-0.0130831,0.00772759,0.732157,1.17503
17,9,0.0131439,0.0414642,0.489341,0.840145
17,10,0.0236966,0.0742883,0.420923,1.04405
17,11,0.090791,0.0678686,0.46745,1.34427
17,12,0.0968862,0.0478236,0.583489,1.6442
17,13,0.0838634,0.0344775,0.663566,1.71093
17,14,0.0869919,0.0305455,0.634819,1.46244
17,15,0.0714503,0.0270441,0.613654,1.2923
17,16,0.0670448,0.0240962,0.607998,1.21369
17,17,0.0677045,0.0216779,0.601717,1.15755
17,18,0.0846843,0.0179926,0.609275,1.13456
17,19,0.0611251,0.0119,0.724725,1.31412
17,20,0.01693,0.00663162,0.839471,1.52069
17,21,0.00342633,0.00276888,0.929595,1.67339
17,22,-0.00476119,0.00066928,1.07967,2.00219
18,0,0.0266474,0.000170564,1.69332,3.40831
18,1,-0.103884,0.000121811,1.84391,3.82326
18,2,-0.124927,0.00032539,1.82848,3.79979
18,3,-0.0814447,0.0008559,1.69351,3.51863
18,4,-0.0202319,0.00160923,1.66292,3.43848
18,5,0.0276011,0.00245997,1.5248,3.17394
18,6,0.067469,0.00340674,1.23961,2.54082
18,7,0.0779803,0.00410377,0.94484,1.7729
18,8,0.0711565,0.00618541,0.65942,0.966747
18,9,0.0744234,0.0399161,0.469547,0.672085
18,10,0.103226,0.0724811,0.463253,1.10876
18,11,0.0717717,0.067776,0.545457,1.5164
18,12,0.0377964,0.0529456,0.682761,1.94346
18,13,0.0254327,0.0408902,0.808939,2.22102
18,14,0.0346589,0.0354791,0.817991,2.06605
18,15,0.0208244,0.0291333,0.825272,1.84593
18,16,-0.0246306,0.0208751,0.881429,1.7488
18,17,-0.054935,0.0156403,0.920382,1.72036
18,18,0.0195764,0.0116632,0.990424,1.81373
18,19,0.071192,0.00524677,0.656994,0.966836
18,20,0.0713835,0.00513426,0.662875,0.98286
18,21,0.101973,0.00234099,1.27512,2.39802
18,22,0.0901335,0.000685233,1.49671,2.90053
19,0,-0.264452,0.000195082,2.35951,4.77705
19,1,-0.29209,0.000173069,2.26539,4.63601
19,2,-0.0443589,0.000490377,1.90328,3.89604
19,3,0.147318,0.00146829,1.60299,3.33792
19,4,0.0584068,0.00248796,1.63694,3.51991
19,5,0.0633275,0.00319246,1.62683,3.56662
19,6,0.0608764,0.00417684,1.42056,3.0501
19,7,0.0462984,0.00441019,1.14976,2.26648
19,8,0.0320122,0.00418464,0.862367,1.423
19,9,0.0234005,0.0181665,0.694784,1.08144
19,10,0.0322378,0.0427821,0.651326,1.38421
19,11,0.0675446,0.0511777,0.680285,1.75512
19,12,0.0587304,0.044881,0.81449,2.26122
