x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
13,38,-0.502667,0.000238673,2.3194,4.44412
17,99,-0.507393,0.000633632,2.01544,4.44253
5,52,-0.00872731,0.00138443,1.97093,4.43834
11,39,-0.0134172,0.00271789,2.51165,4.43724
18,66,-0.241954,0.000179518,2.07447,4.43403
11,73,-0.0318881,0.0019732,2.40226,4.43061
7,45,-0.110708,0.00841953,2.00768,4.42274
22,51,0.110311,0.000519325,1.96224,4.42061
10,46,-0.357097,0.0019369,2.36667,4.41285
1,65,-0.104965,0.000113552,2.1022,4.41188
0,65,-0.306009,7.18E-05,2.12434,4.40365
16,37,-0.196966,0.000289174,2.15512,4.40036
15,102,-0.0524982,0.000385911,2.0852,4.38463
11,40,-0.134103,0.00330178,2.48138,4.38175
0,60,-0.561525,0.000260235,2.02404,4.38149
19,52,0.0063988,0.00125244,1.77721,4.37925
8,78,0.0161039,0.000178685,2.18639,4.37444
8,57,-0.29264,0.00142502,1.84235,4.36964
15,96,-0.170087,0.000664371,2.0868,4.36944
6,56,0.000440338,0.00178858,1.92428,4.36836
5,79,-0.328364,0.000175225,2.01301,4.36006
13,96,-0.388366,0.000574601,2.12657,4.35482
22,59,0.33086,0.000541285,1.90185,4.35084
5,41,0.413826,0.0181002,1.68287,4.32718
22,45,0.37464,0.000644896,1.99501,4.32582
20,39,-0.785769,0.00310101,1.94586,4.31396
22,18,-0.0842189,8.11E-05,2.31419,4.30456
0,64,0.603438,0.000127396,1.99353,4.28693
17,40,0.457288,0.0013009,2.09927,4.27671
9,0,6.34747,7.35E-06,2.31665,4.27626
11,100,-0.0416185,0.000263767,1.81144,4.27359
5,16,-0.235727,2.22E-05,2.27531,4.2693
10,73,-0.164957,0.00151345,2.22244,4.26461
10,91,-0.633289,0.00104703,1.935,4.25862
7,41,-0.101576,0.00883129,1.98918,4.25776
12,43,-1.16628,0.00108579,2.3739,4.25571
15,99,0.0187401,0.000722915,2.00129,4.23752
17,100,0.0651578,0.000661986,1.9902,4.23654
6,79,-0.0519381,0.000190385,1.9379,4.2361
8,96,-0.379109,0.000387154,1.92134,4.23596
14,21,-0.139791,4.82E-06,2.18856,4.22817
2,65,-0.232606,0.000243789,1.9715,4.22743
6,59,0.191286,0.00132664,1.81748,4.22593
1,60,0.574458,0.000339112,1.99251,4.21969
19,39,-0.634231,0.0025353,1.98232,4.21019
10,78,0.0517339,0.000614902,2.13873,4.20931
0,51,-0.194822,0.000435973,1.83911,4.2081
13,39,-0.426711,0.000594366,2.22149,4.19898
19,33,-0.0255487,0.000893019,2.01716,4.19521
4,72,-0.0412686,0.000461886,1.97293,4.19415
4,101,-0.267788,0.000566136,1.94907,4.17881
13,102,-0.123829,0.000437977,1.95196,4.17614
20,0,3.88199,6.11E-06,2.26874,4.17595
5,73,-0.121709,0.000818504,1.98267,4.17385
5,72,0.117713,0.000689317,1.9243,4.16881
17,30,-0.0677147,0.000259023,1.97756,4.16827
17,44,-0.848066,0.000913489,2.09167,4.1665
3,79,-0.28956,0.000180478,2.03835,4.16217
3,52,0.47313,0.000580291,1.85218,4.16006
12,100,1.66627,0.000179958,1.86994,4.15981
18,33,-0.256277,0.000509798,1.98201,4.15686
8,41,-0.458394,0.00404096,2.09659,4.15432
4,62,0.101661,0.000262073,1.83019,4.15243
20,28,-0.253702,0.00493413,1.94193,4.15128
18,98,0.319372,0.00119947,1.90157,4.14558
10,43,0.238621,0.00417934,1.98935,4.13938
0,61,0.612605,0.000144693,1.87049,4.1354
